Neighborhood,Borough,Postalcode
Central Bronx,Bronx,(10453, 10457, 10460)
Bronx Park and Fordham,Bronx,(10458, 10467, 10468)
High Bridge and Morrisania,Bronx,(10451, 10452, 10456)
Hunts Point and Mott Haven,Bronx,(10454, 10455, 10459, 10474)
Kingsbridge and Riverdale,Bronx,(10463, 10471)
Northeast Bronx,Bronx,(10466, 10469, 10470, 10475)
Southeast Bronx,Bronx,(10461, 10462,10464, 10465, 10472, 10473)
